PatchVersion BranchName PatchReleaseDate BaseVersion BaseCommit BaseReleaseDate
3.0.28-rt47 analysis-3.0.28-rt47 2012-04-17 3.0.28 v3.0.28 2012-04-13
3.0.29-rt49 analysis-3.0.29-rt49 2012-04-23 3.0.29 v3.0.29 2012-04-23
3.0.30-rt50 analysis-3.0.30-rt50 2012-05-02 3.0.30 v3.0.30 2012-04-27
3.0.31-rt51 analysis-3.0.31-rt51 2012-05-14 3.0.31 v3.0.31 2012-05-07
3.0.32-rt52 analysis-3.0.32-rt52 2012-05-22 3.0.32 v3.0.32 2012-05-21
3.0.33-rt53 analysis-3.0.33-rt53 2012-06-07 3.0.33 v3.0.33 2012-06-01
3.0.33-rt54 analysis-3.0.33-rt54 2012-06-12 3.0.33 v3.0.33 2012-06-01
3.0.34-rt55 analysis-3.0.34-rt55 2012-06-15 3.0.34 v3.0.34 2012-06-09
3.0.35-rt56 analysis-3.0.35-rt56 2012-06-19 3.0.35 v3.0.35 2012-06-17
3.0.36-rt57 analysis-3.0.36-rt57 2012-06-25 3.0.36 v3.0.36 2012-06-22
3.0.36-rt58 analysis-3.0.36-rt58 2012-07-20 3.0.36 v3.0.36 2012-06-22
3.0.39-rt59 analysis-3.0.39-rt59 2012-08-03 3.0.39 v3.0.39 2012-08-01
3.0.40-rt60 analysis-3.0.40-rt60 2012-08-10 3.0.40 v3.0.40 2012-08-09
3.0.41-rt61 analysis-3.0.41-rt61 2012-08-17 3.0.41 v3.0.41 2012-08-15
3.0.41-rt62 analysis-3.0.41-rt62 2012-08-30 3.0.41 v3.0.41 2012-08-15
3.0.42-rt63 analysis-3.0.42-rt63 2012-08-30 3.0.42 v3.0.42 2012-08-27
3.0.42-rt64 analysis-3.0.42-rt64 2012-09-17 3.0.42 v3.0.42 2012-08-27
3.0.43-rt65 analysis-3.0.43-rt65 2012-09-18 3.0.43 v3.0.43 2012-09-14
3.0.44-rt66 analysis-3.0.44-rt66 2012-10-09 3.0.44 v3.0.44 2012-10-02
3.0.45-rt67 analysis-3.0.45-rt67 2012-10-09 3.0.45 v3.0.45 2012-10-07
3.0.45-rt68 analysis-3.0.45-rt68 2012-10-16 3.0.45 v3.0.45 2012-10-07
3.0.46-rt69 analysis-3.0.46-rt69 2012-10-18 3.0.46 v3.0.46 2012-10-12
3.0.47-rt70 analysis-3.0.47-rt70 2012-10-26 3.0.47 v3.0.47 2012-10-21
3.0.48-rt71 analysis-3.0.48-rt71 2012-10-26 3.0.48 v3.0.48 2012-10-22
3.0.48-rt72 analysis-3.0.48-rt72 2012-11-03 3.0.48 v3.0.48 2012-10-22
3.0.50-rt74 analysis-3.0.50-rt74 2012-11-06 3.0.50 v3.0.50 2012-10-31
3.0.51-rt75 analysis-3.0.51-rt75 2012-11-08 3.0.51 v3.0.51 2012-11-05
3.0.52-rt76 analysis-3.0.52-rt76 2012-11-20 3.0.52 v3.0.52 2012-11-17
3.0.53-rt77 analysis-3.0.53-rt77 2012-11-28 3.0.53 v3.0.53 2012-11-26
3.0.54-rt78 analysis-3.0.54-rt78 2012-12-04 3.0.54 v3.0.54 2012-12-03
3.0.55-rt79 analysis-3.0.55-rt79 2012-12-11 3.0.55 v3.0.55 2012-12-06
3.0.57-rt81 analysis-3.0.57-rt81 2012-12-20 3.0.57 v3.0.57 2012-12-17
3.0.57-rt82 analysis-3.0.57-rt82 2012-12-27 3.0.57 v3.0.57 2012-12-17
3.0.58-rt83 analysis-3.0.58-rt83 2013-01-18 3.0.58 v3.0.58 2013-01-11
3.0.60-rt85 analysis-3.0.60-rt85 2013-01-24 3.0.60 v3.0.60 2013-01-21
3.0.61-rt86 analysis-3.0.61-rt86 2013-01-31 3.0.61 v3.0.61 2013-01-28
3.0.62-rt87 analysis-3.0.62-rt87 2013-02-06 3.0.62 v3.0.62 2013-02-04
3.0.62-rt88 analysis-3.0.62-rt88 2013-02-14 3.0.62 v3.0.62 2013-02-04
3.0.65-rt91 analysis-3.0.65-rt91 2013-02-19 3.0.65 v3.0.65 2013-02-17
3.0.65-rt92 analysis-3.0.65-rt92 2013-02-22 3.0.65 v3.0.65 2013-02-17
3.0.66-rt93 analysis-3.0.66-rt93 2013-02-26 3.0.66 v3.0.66 2013-02-21
3.0.69-rt96 analysis-3.0.69-rt96 2013-03-22 3.0.69 v3.0.69 2013-03-14
3.0.71-rt98 analysis-3.0.71-rt98 2013-03-29 3.0.71 v3.0.71 2013-03-28
3.0.74-rt101 analysis-3.0.74-rt101 2013-04-23 3.0.74 v3.0.74 2013-04-17
3.0.75-rt102 analysis-3.0.75-rt102 2013-05-01 3.0.75 v3.0.75 2013-04-26
3.0.75-rt103 analysis-3.0.75-rt103 2013-05-07 3.0.75 v3.0.75 2013-04-26
3.0.78-rt106 analysis-3.0.78-rt106 2013-05-20 3.0.78 v3.0.78 2013-05-11
3.0.80-rt108 analysis-3.0.80-rt108 2013-05-30 3.0.80 v3.0.80 2013-05-24
3.0.83-rt111 analysis-3.0.83-rt111 2013-06-28 3.0.83 v3.0.83 2013-06-20
3.0.85-rt113 analysis-3.0.85-rt113 2013-07-10 3.0.85 v3.0.85 2013-07-03
3.0.89-rt117 analysis-3.0.89-rt117 2013-08-17 3.0.89 v3.0.89 2013-08-04
3.0.89-rt118 analysis-3.0.89-rt118 2013-09-12 3.0.89 v3.0.89 2013-08-04
3.0.95-rt124 analysis-3.0.95-rt124 2013-09-13 3.0.95 v3.0.95 2013-09-08
3.0.101-rt130 analysis-3.0.101-rt130 2013-10-24 3.0.101 v3.0.101 2013-10-22
3.2-rc2-rt3 analysis-3.2-rc2-rt3 2011-11-18 3.2-rc2 v3.2-rc2 2011-11-15
3.2-rc4-rt4 analysis-3.2-rc4-rt4 2011-12-02 3.2-rc4 v3.2-rc4 2011-12-01
3.2-rc4-rt5 analysis-3.2-rc4-rt5 2011-12-02 3.2-rc4 v3.2-rc4 2011-12-01
3.2-rc4-rt6 analysis-3.2-rc4-rt6 2011-12-05 3.2-rc4 v3.2-rc4 2011-12-01
3.2-rc5-rt7 analysis-3.2-rc5-rt7 2011-12-10 3.2-rc5 v3.2-rc5 2011-12-10
3.2-rc5-rt8 analysis-3.2-rc5-rt8 2011-12-14 3.2-rc5 v3.2-rc5 2011-12-10
3.2-rc6-rt9 analysis-3.2-rc6-rt9 2011-12-21 3.2-rc6 v3.2-rc6 2011-12-17
3.2-rt10 analysis-3.2-rt10 2012-01-11 3.2 v3.2 2012-01-05
